Indicator
#2-4-1
#2-4-2
#3-c-1
#3-c-2
#4-3-1
#4-3-2
#4-3-3
#4-3-4
#4-4-1
#4-4-2
#4-7-1
#9-1-1
#9-1-2
#9-1-3
#9-1-4
#9-2-1
