Year,Koulutustaso,Series,Value
2022,,Total,1319
2022,AMK,Disaggregated,1126
2022,YAMK,Disaggregated,193
2023,,Total,1443
2023,AMK,Disaggregated,1238
2023,YAMK,Disaggregated,194
2024,,Total,1616
2024,AMK,Disaggregated,1375
2024,YAMK,Disaggregated,241
